,SAMPN,RESTY,HHSIZ,HHLIC,INCOM_R,HHVEH_R
735,3021071,1,1,1,3,3
736,3021170,1,2,2,9,3
737,3021244,1,3,2,4,3
738,3021274,1,4,4,4,3
739,3021298,2,3,3,4,3
740,3021347,2,1,0,1,0
741,3021364,1,3,3,9,3
742,3021414,1,5,3,3,3
743,3021420,1,3,3,3,2
744,3021426,1,2,2,4,2
745,3021442,1,4,2,4,3
746,3021462,2,2,2,3,2
747,3021522,1,1,1,2,3
748,3021531,1,3,2,4,3
749,3021648,2,2,2,3,1
750,3021649,1,3,2,2,3
751,3021664,1,1,1,4,2
752,3021675,2,1,1,1,0
753,3021688,1,4,2,2,1
754,3021697,1,4,2,4,3
755,3021706,2,2,2,4,3
756,3021713,1,4,2,4,2
757,3021774,1,1,1,4,2
758,3021839,1,3,2,1,2
759,3021849,1,4,1,3,1
760,3021852,2,1,0,1,0
761,3021937,2,1,1,4,2
762,3021943,1,1,1,2,2
763,3021966,1,2,2,3,2
764,3021972,1,1,1,2,1
765,3021978,2,2,2,2,2
766,3021999,1,4,3,4,3
767,3022006,1,3,3,4,3
768,3022018,2,1,1,1,0
769,3022057,1,5,2,2,2
770,3022086,1,2,2,2,2
771,3022091,1,2,2,2,2
772,3022104,1,2,2,4,3
773,3022131,1,5,2,4,2
774,3022177,2,1,1,3,1
775,3022208,2,2,2,9,3
776,3022226,2,2,1,1,1
777,3022235,1,2,2,4,2
778,3022263,1,2,0,1,0
779,3022330,1,4,2,2,1
780,3022366,1,2,2,2,2
781,3022488,1,3,3,4,3
782,3022495,1,2,1,4,1
783,3022507,1,4,2,2,2
784,3022549,1,2,2,2,2
785,3022640,1,3,2,4,2
786,3022649,2,2,2,1,2
787,3022703,1,2,1,1,0
788,3022749,1,4,3,4,3
789,3022803,1,3,3,3,1
790,3022819,2,1,1,4,1
791,3022841,1,2,2,9,2
792,3022865,1,1,1,9,1
793,3022880,2,1,1,2,1
794,3022908,1,2,2,3,3
795,3022927,2,1,1,1,1
796,3022965,1,4,2,4,2
797,3022996,2,2,2,3,0
798,3023015,1,2,2,4,2
799,3023016,1,3,3,4,3
800,3023038,1,1,1,1,0
801,3023126,1,3,2,4,2
802,3023129,2,2,1,9,0
803,3023175,1,1,1,9,1
804,3023188,2,1,1,1,0
805,3023222,1,1,1,2,1
806,3023224,2,1,0,1,0
807,3023234,2,1,1,2,1
808,3023240,1,1,1,2,1
809,3023271,2,6,2,4,2
810,3023338,2,1,1,1,0
811,3023387,1,2,2,4,2
812,3023398,2,2,2,2,2
813,3023470,1,2,2,4,2
814,3023635,2,1,0,1,0
815,3023641,2,1,1,2,1
816,3023669,1,3,2,4,3
817,3023673,2,2,1,2,1
818,3023674,1,2,2,2,1
819,3023680,1,3,3,2,3
820,3023681,1,2,2,9,2
821,3023742,1,2,2,4,1
822,3023786,1,4,2,4,2
823,3023838,1,1,1,2,1
824,3023849,1,4,3,4,3
825,3023887,1,3,3,2,2
826,3023889,1,2,2,4,2
827,3023911,1,2,2,9,2
828,3024016,2,3,1,4,0
829,3024041,1,3,2,4,2
830,3024089,1,2,2,9,2
831,3024119,1,3,2,3,3
832,3024127,2,3,3,4,3
833,3024205,2,2,1,2,0
834,3024212,2,1,1,4,1
835,3024222,1,2,2,4,3
836,3024319,2,2,2,3,1
837,3024397,2,1,1,1,1
838,3024456,1,1,1,2,1
839,3024474,1,2,2,2,3
840,3024496,1,3,2,2,2
841,3024516,2,1,1,2,1
842,3024544,1,3,2,9,2
843,3024563,1,3,2,4,3
844,3024568,1,2,2,9,0
845,3024575,2,4,2,4,1
846,3024605,1,1,1,2,1
847,3024607,1,1,1,2,1
848,3024723,2,2,2,4,1
849,3024862,2,1,1,4,1
850,3024870,1,1,1,9,1
851,3024878,1,1,1,2,0
852,3024960,2,3,1,2,0
853,3025049,2,1,1,4,1
854,3025089,2,1,1,2,1
855,3025375,2,2,2,4,0
856,3025413,1,1,1,3,1
857,3025435,2,1,1,2,0
858,3025437,1,2,2,4,2
